iter	Logloss
0	0.6547364225
1	0.6303295742
2	0.6128173922
3	0.599687172
4	0.5905831865
5	0.58419916
6	0.5776242397
7	0.5739816966
8	0.5711659949
9	0.5666592684
10	0.564066325
11	0.5608465099
12	0.5581380091
13	0.5554099653
14	0.5535121488
15	0.5508900237
16	0.5494540459
17	0.5476139826
18	0.5463026869
19	0.5450235812
20	0.5437182444
21	0.5425910534
22	0.5417482163
23	0.5406812701
24	0.539163562
25	0.5383853293
26	0.5374438624
27	0.5366795456
28	0.5352450671
29	0.5344831742
30	0.533071319
31	0.5320986842
32	0.5311918652
33	0.5307561903
34	0.5303616432
35	0.5293643695
36	0.5287336218
37	0.5279929275
38	0.5271777346
39	0.5261962551
40	0.5250302643
41	0.5241536316
42	0.5233124877
43	0.522728748
44	0.522461918
45	0.5219379798
46	0.5210287348
47	0.5207164825
48	0.5197439561
49	0.5190554658
50	0.5180577609
51	0.5174456291
52	0.5169458285
53	0.5164176188
54	0.515884143
55	0.5141324469
56	0.5138622081
57	0.5133304909
58	0.5121681769
59	0.5114869541
60	0.5109844352
61	0.5106834258
62	0.5097361927
63	0.5093179783
64	0.5090171943
65	0.5086973455
66	0.5078648109
67	0.5074838623
68	0.5069933538
69	0.5065567706
70	0.5060430384
71	0.5050083383
72	0.5046548492
73	0.5042676208
74	0.503586001
75	0.5030480713
76	0.5024074624
77	0.5017163418
78	0.50116651
79	0.5001651696
80	0.4996436824
81	0.4991744427
82	0.4986385657
83	0.4981084274
84	0.4969357949
85	0.496494406
86	0.4959162247
87	0.4955401249
88	0.494732057
89	0.4942950699
90	0.4935456205
91	0.493193305
92	0.4926066521
93	0.4919924644
94	0.4913201725
95	0.4906789136
96	0.4902815444
97	0.4895328075
98	0.4890403056
99	0.4881813869
100	0.4875499344
101	0.4860331405
102	0.4854862934
103	0.484420271
104	0.4834699858
105	0.4828375667
106	0.4817667585
107	0.4812378396
108	0.4804386912
109	0.4797309465
110	0.4789942141
111	0.4780977573
112	0.4775834973
113	0.4773104685
114	0.4766905755
115	0.4763386753
116	0.4758341877
117	0.4752203771
118	0.4746664429
119	0.4741445683
120	0.4737058886
121	0.4731165378
122	0.4727425521
123	0.4722901923
124	0.4717904326
125	0.4714998227
126	0.4711452731
127	0.4705522606
128	0.4700791479
129	0.4694639021
130	0.4690187837
131	0.4684899487
132	0.4680626826
133	0.4673709747
134	0.4670611094
135	0.4665526624
136	0.4659816937
137	0.4653427507
138	0.46486465
139	0.4644324995
140	0.46413726
141	0.463490908
142	0.4632075266
143	0.4626984059
144	0.4621144212
145	0.4614945648
146	0.4610561231
147	0.460664098
148	0.4602098874
149	0.4600297559
150	0.4596401721
151	0.4588234369
152	0.4584068124
153	0.4578947815
154	0.457502239
155	0.4569964899
156	0.456534543
157	0.4560739313
158	0.4557428062
159	0.4554344854
160	0.4548012683
161	0.4545751056
162	0.4539786822
163	0.4532953193
164	0.4527400172
165	0.4523995755
166	0.4520253086
167	0.4515259032
168	0.4511130914
169	0.4507257291
170	0.4504911289
171	0.4501363618
172	0.4496491733
173	0.4493099166
174	0.448687817
175	0.448420981
176	0.4480615319
177	0.4476718402
178	0.4472534444
179	0.4467335362
180	0.4463968079
181	0.446116259
182	0.4458702064
183	0.4454887873
184	0.4452726578
185	0.4450234919
186	0.4446825969
187	0.4443816585
188	0.4438571786
189	0.4433166725
190	0.4430055871
191	0.4427746657
192	0.4423513564
193	0.442090908
194	0.4416694891
195	0.44136142
196	0.4408266521
197	0.4404252239
198	0.4401026538
199	0.4397537193
200	0.4392328534
201	0.4389876228
202	0.4385647905
203	0.4380211373
204	0.4377504378
205	0.4374025745
206	0.4370492695
207	0.4368785048
208	0.4365929492
209	0.4362259522
210	0.4358980935
211	0.4357046192
212	0.4351499565
213	0.4344710747
214	0.4341065745
215	0.4338287774
216	0.433511448
217	0.4330909151
218	0.4328674848
219	0.4326524726
220	0.4321830951
221	0.4317431989
222	0.4312408437
223	0.4309539856
224	0.4306119869
225	0.4302252289
226	0.4295476471
227	0.429085281
228	0.4289382903
229	0.4285401918
230	0.4282515044
231	0.4280234657
232	0.4276699931
233	0.427179174
234	0.4268594169
235	0.4263429395
236	0.4259317648
237	0.4257362327
238	0.4253953691
239	0.4251018932
240	0.4244905208
241	0.4240109136
242	0.423748741
243	0.4233518855
244	0.4229514887
245	0.4227087202
246	0.422513749
247	0.4222122035
248	0.4218982931
249	0.4216261688
250	0.4214014296
251	0.4210807705
252	0.4209694244
253	0.4208552646
254	0.4206451804
255	0.4204480945
256	0.4201684377
257	0.4198020748
258	0.4194506351
259	0.4192331454
260	0.4187032754
261	0.41820896
262	0.4179089538
263	0.4176395511
264	0.4174004526
265	0.4170770996
266	0.4168020886
267	0.4164616134
268	0.4160261754
269	0.4157298855
270	0.4153822534
271	0.4149976243
272	0.4147657255
273	0.4144897949
274	0.4143585758
275	0.4140005705
276	0.4135962449
277	0.4133234333
278	0.4129922002
279	0.4127441512
280	0.4124358367
281	0.4121088914
282	0.4118731985
283	0.4115265024
284	0.4111964814
285	0.4108934421
286	0.4105405939
287	0.4101364781
288	0.409961574
289	0.4097530876
290	0.4094801497
291	0.4090940665
292	0.408886004
293	0.4086098598
294	0.4081666481
295	0.4077253689
296	0.4072918004
297	0.406985729
298	0.4064953058
299	0.4062190608
300	0.4059926956
301	0.4056681477
302	0.405407567
303	0.4050722791
304	0.4047024258
305	0.4041411404
306	0.4038649211
307	0.4035196003
308	0.403295782
309	0.4029323683
310	0.4025400609
311	0.4022566052
312	0.4020984519
313	0.4018095711
314	0.401574305
315	0.4013506446
316	0.4011289596
317	0.400736794
318	0.4004665465
319	0.4002871383
320	0.3999763495
321	0.3996845952
322	0.3994382257
323	0.3992376376
324	0.3989087454
325	0.3985414424
326	0.398380796
327	0.397950299
328	0.3977960541
329	0.397396063
330	0.3971162685
331	0.3967941722
332	0.3966384141
333	0.3963852459
334	0.3960635223
335	0.3957092877
336	0.3952971512
337	0.3952246468
338	0.394793573
339	0.3945949515
340	0.3943587106
341	0.3941199923
342	0.3938363662
343	0.3936573999
344	0.3934715854
345	0.3931804089
346	0.3929946639
347	0.3925182348
348	0.3923277926
349	0.3921814881
350	0.3917810468
351	0.3916680392
352	0.3912434417
353	0.391001218
354	0.3907844991
355	0.3905367276
356	0.3901871171
357	0.3900801423
358	0.3898195715
359	0.3896296217
360	0.3894405193
361	0.3892606679
362	0.3890289467
363	0.388814894
364	0.3884751521
365	0.3881850754
366	0.3878035219
367	0.3876497002
368	0.3874460366
369	0.387241881
370	0.3870487462
371	0.3869350022
372	0.3867269728
373	0.3863827377
374	0.3863007733
375	0.386085941
376	0.3858893135
377	0.3854957685
378	0.3853315947
379	0.3851076719
380	0.3848951044
381	0.384790945
382	0.3846325867
383	0.3845442678
384	0.3843647112
385	0.384239147
386	0.3840193277
387	0.3838531753
388	0.3835309255
389	0.3833222498
390	0.3832174278
391	0.3829808706
392	0.3827935382
393	0.3825829639
394	0.382477442
395	0.382149012
396	0.3819925893
397	0.3818659147
398	0.3817495807
399	0.3815362639
400	0.3813691056
401	0.3811235896
402	0.3809510555
403	0.3807044345
404	0.3804067154
405	0.3801853586
406	0.3800143058
407	0.3797947563
408	0.3794349803
409	0.3793100117
410	0.3789669404
411	0.3786524512
412	0.3784010601
413	0.3781173067
414	0.3779908859
415	0.3777646294
416	0.3775585485
417	0.3772761538
418	0.3771830027
419	0.3770096833
420	0.3767444151
421	0.376622541
422	0.3764813446
423	0.3762514627
424	0.3760440709
425	0.3759677027
426	0.3758317119
427	0.3756298603
428	0.3755174735
429	0.3753523623
430	0.3750073581
431	0.3748754559
432	0.3746019157
433	0.3743851378
434	0.3743166232
435	0.3741649711
436	0.3740479783
437	0.3739347813
438	0.3736895962
439	0.3735262456
440	0.3733391582
441	0.3732440161
442	0.3730769004
443	0.3729554534
444	0.372840231
445	0.3726644494
446	0.3723402875
447	0.3720991747
448	0.3718046403
449	0.3716461614
450	0.3714337388
451	0.3713427838
452	0.3710757773
453	0.3709481545
454	0.3707983141
455	0.3705658909
456	0.3703421881
457	0.3701788508
458	0.3699645134
459	0.3696117795
460	0.3694290925
461	0.3692118259
462	0.3690030943
463	0.3689214475
464	0.3685938103
465	0.3684083164
466	0.3682653236
467	0.3681649617
468	0.3679480573
469	0.3677543538
470	0.3676042458
471	0.3674018115
472	0.3671953758
473	0.3670746873
474	0.3668009168
475	0.3665989193
476	0.3664394236
477	0.3660953798
478	0.3659401709
479	0.3657227742
480	0.3655796909
481	0.3654300446
482	0.3651126865
483	0.3648769318
484	0.3647256501
485	0.3645715462
486	0.3644007819
487	0.3641518461
488	0.3639846109
489	0.3637895046
490	0.3637003847
491	0.3635013731
492	0.3634119939
493	0.3632047601
494	0.3630955644
495	0.3629377978
496	0.3628452202
497	0.3625765442
498	0.3623427142
499	0.3622146971
