iter	Passed	Remaining
0	100	50274
1	140	34934
2	179	29775
3	217	26989
4	255	25324
5	294	24219
6	331	23344
7	369	22734
8	408	22266
9	447	21925
10	488	21717
11	529	21550
12	569	21320
13	604	21000
14	642	20772
15	683	20673
16	724	20590
17	764	20471
18	805	20388
19	851	20424
20	897	20482
21	943	20488
22	984	20410
23	1024	20311
24	1063	20214
25	1102	20102
26	1143	20030
27	1187	20013
28	1231	20007
29	1272	19929
30	1312	19852
31	1352	19774
32	1391	19696
33	1430	19612
34	1472	19557
35	1515	19534
36	1552	19432
37	1590	19334
38	1628	19249
39	1665	19153
40	1703	19074
41	1743	19010
42	1782	18941
43	1823	18893
44	1862	18832
45	1901	18767
46	1939	18691
47	1976	18610
48	2015	18552
49	2054	18487
50	2092	18420
51	2131	18361
52	2166	18274
53	2209	18250
54	2252	18224
55	2293	18182
56	2335	18152
57	2375	18104
58	2416	18065
59	2456	18015
60	2494	17954
61	2531	17880
62	2571	17834
63	2607	17766
64	2644	17697
65	2686	17663
66	2728	17632
67	2768	17589
68	2810	17555
69	2845	17477
70	2884	17427
71	2923	17380
72	2961	17319
73	2999	17267
74	3039	17223
75	3078	17173
76	3119	17138
77	3158	17088
78	3199	17051
79	3241	17018
80	3278	16958
81	3313	16890
82	3351	16835
83	3387	16775
84	3427	16732
85	3466	16687
86	3508	16654
87	3550	16622
88	3589	16575
89	3623	16507
90	3663	16463
91	3699	16404
92	3736	16351
93	3773	16298
94	3810	16243
95	3849	16200
96	3887	16149
97	3926	16105
98	3964	16057
99	4003	16012
100	4041	15966
101	4084	15936
102	4128	15913
103	4170	15881
104	4210	15838
105	4250	15799
106	4291	15761
107	4332	15723
108	4373	15689
109	4414	15652
110	4456	15617
111	4496	15577
112	4538	15543
113	4577	15497
114	4617	15458
115	4657	15416
116	4697	15376
117	4743	15354
118	4782	15310
119	4825	15281
120	4864	15237
121	4904	15196
122	4945	15157
123	4986	15119
124	5029	15087
125	5071	15054
126	5121	15041
127	5170	15028
128	5214	14997
129	5255	14956
130	5295	14916
131	5336	14876
132	5380	14845
133	5424	14816
134	5465	14776
135	5506	14737
136	5546	14697
137	5583	14647
138	5621	14600
139	5655	14542
140	5691	14491
141	5728	14442
142	5764	14391
143	5801	14343
144	5839	14297
145	5877	14251
146	5914	14202
147	5952	14156
148	5989	14110
149	6024	14057
150	6061	14009
151	6100	13966
152	6137	13920
153	6176	13877
154	6215	13834
155	6254	13792
156	6293	13749
157	6331	13704
158	6368	13658
159	6405	13611
160	6443	13567
161	6479	13517
162	6516	13472
163	6553	13427
164	6591	13382
165	6628	13337
166	6664	13289
167	6703	13248
168	6740	13201
169	6777	13156
170	6812	13107
171	6852	13066
172	6889	13023
173	6928	12981
174	6966	12938
175	7004	12893
176	7042	12851
177	7079	12806
178	7117	12763
179	7156	12721
180	7192	12675
181	7231	12635
182	7266	12587
183	7303	12543
184	7339	12497
185	7376	12453
186	7413	12408
187	7449	12363
188	7487	12320
189	7525	12278
